26.03.2021 13:45:34

TIME STEP: 64 = 1s
VOLTAGE RANGE:
CH1= 15V
CH2= 15V
CH3= 15V
CH4= 30V
CH5= 30V
CH6= 30V
CH7= 30V
CH8= 30V

   N     CH1     CH2     CH3     CH4     CH5     CH6     CH7     CH8

   1    12,6    15,0    13,0     7,8     2,4     0,0     2,0     7,2
   2    12,7    15,0    12,9     7,6     2,2     0,0     2,1     7,3
   3    12,8    15,0    12,8     7,4     2,1     0,0     2,1     7,5
   4    12,9    15,0    12,7     7,3     2,0     0,0     2,2     7,6
   5    13,0    15,0    12,6     7,2     2,0     0,0     2,4     7,8
   6    13,1    15,0    12,5     7,1     1,9     0,0     2,5     7,9
   7    13,2    15,0    12,4     6,8     1,8     0,0     2,6     8,1
   8    13,3    14,9    12,2     6,7     1,6     0,0     2,7     8,2
   9    13,4    14,9    12,1     6,6     1,5     0,0     2,8     8,4
  10    13,5    14,9    12,0     6,5     1,5     0,0     2,9     8,5
  11    13,6    14,9    11,9     6,2     1,4     0,0     3,1     8,7
  12    13,6    14,9    11,8     6,1     1,3     0,1     3,2     8,8
  13    13,8    14,8    11,6     6,0     1,2     0,1     3,3     8,9
  14    13,8    14,8    11,5     5,9     1,2     0,1     3,4     9,1
  15    13,9    14,8    11,4     5,8     1,1     0,1     3,5     9,3
  16    14,0    14,8    11,3     5,5     0,9     0,2     3,6     9,4
  17    14,1    14,7    11,2     5,4     0,9     0,2     3,8     9,5
  18    14,1    14,6    11,0     5,3     0,8     0,2     4,0     9,6
  19    14,2    14,6    10,9     5,2     0,8     0,4     4,1     9,8
  20    14,2    14,6    10,8     5,1     0,7     0,4     4,2    10,0
  21    14,3    14,5    10,6     4,8     0,6     0,5     4,4    10,1
  22    14,4    14,5    10,5     4,7     0,6     0,5     4,5    10,2
  23    14,4    14,4    10,4     4,6     0,5     0,6     4,6    10,4
  24    14,5    14,4    10,2     4,5     0,5     0,6     4,7    10,5
  25    14,5    14,3    10,1     4,4     0,5     0,7     4,9    10,6
  26    14,6    14,2     9,9     4,2     0,4     0,7     5,1    10,8
  27    14,6    14,2     9,8     4,0     0,4     0,8     5,2    10,9
  28    14,7    14,1     9,6     3,9     0,2     0,8     5,3    11,1
  29    14,7    14,1     9,5     3,8     0,2     0,9     5,4    11,2
  30    14,8    13,9     9,4     3,6     0,2     0,9     5,6    11,3
  31    14,8    13,9     9,2     3,5     0,1     1,1     5,8    11,4
  32    14,8    13,8     9,1     3,4     0,1     1,2     5,9    11,5
  33    14,9    13,7     8,9     3,3     0,1     1,2     6,0    11,6
  34    14,9    13,6     8,8     3,2     0,1     1,3     6,1    11,8
  35    14,9    13,5     8,6     3,1     0,0     1,4     6,4    11,9
  36    14,9    13,5     8,5     2,9     0,0     1,5     6,5    12,0
  37    14,9    13,4     8,4     2,8     0,0     1,5     6,6    12,1
  38    14,9    13,3     8,2     2,7     0,0     1,6     6,7    12,2
  39    15,0    13,2     8,1     2,6     0,0     1,8     6,9    12,4
  40    15,0    13,1     7,9     2,5     0,0     1,9     7,1    12,5
  41    15,0    13,0     7,8     2,4     0,0     2,0     7,2    12,6
  42    15,0    12,9     7,6     2,2     0,0     2,1     7,3    12,7
  43    15,0    12,8     7,5     2,1     0,0     2,1     7,5    12,8
  44    15,0    12,7     7,4     2,0     0,0     2,2     7,6    12,9
  45    15,0    12,6     7,2     2,0     0,0     2,4     7,8    13,1
  46    15,0    12,5     7,0     1,9     0,0     2,5     8,0    13,1
  47    15,0    12,4     6,9     1,8     0,0     2,6     8,1    13,2
  48    14,9    12,2     6,7     1,6     0,0     2,7     8,2    13,3
  49    14,9    12,1     6,6     1,5     0,0     2,8     8,4    13,4
  50    14,9    12,0     6,5     1,5     0,0     2,9     8,6    13,5
  51    14,9    11,9     6,3     1,4     0,0     3,1     8,7    13,5
  52    14,9    11,8     6,2     1,3     0,1     3,2     8,8    13,6
  53    14,8    11,6     6,0     1,2     0,1     3,3     8,9    13,8
  54    14,8    11,5     5,9     1,2     0,1     3,4     9,1    13,9
  55    14,8    11,4     5,7     1,1     0,1     3,5     9,3    13,9
  56    14,8    11,3     5,6     0,9     0,2     3,6     9,4    14,0
  57    14,7    11,1     5,4     0,9     0,2     3,8     9,5    14,0
  58    14,6    11,0     5,3     0,8     0,2     4,0     9,6    14,1
  59    14,6    10,9     5,2     0,8     0,4     4,1     9,9    14,2
  60    14,6    10,8     5,0     0,7     0,4     4,2    10,0    14,2
  61    14,5    10,6     4,9     0,6     0,5     4,4    10,1    14,4
  62    14,5    10,5     4,7     0,6     0,5     4,5    10,2    14,4
  63    14,4    10,4     4,6     0,5     0,6     4,6    10,4    14,5
  64    14,4    10,2     4,5     0,5     0,6     4,7    10,5    14,5
  65    14,3    10,1     4,4     0,5     0,7     4,9    10,7    14,6
  66    14,2     9,9     4,2     0,4     0,7     5,1    10,8    14,6
  67    14,2     9,8     4,1     0,4     0,8     5,2    10,9    14,6
  68    14,1     9,6     3,9     0,2     0,8     5,3    11,1    14,7
  69    14,1     9,5     3,8     0,2     0,9     5,4    11,2    14,7
  70    13,9     9,4     3,6     0,2     1,1     5,6    11,3    14,7
  71    13,9     9,2     3,5     0,1     1,1     5,8    11,4    14,8
  72    13,8     9,1     3,4     0,1     1,2     5,9    11,5    14,8
